Serving HTTP on 0.0.0.0 port 51037 (http://0.0.0.0:51037/) ...
127.0.0.1 - - [27/Feb/2025 01:06:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Feb/2025 01:06:58] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:07:00] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:07:00] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:07:00] code 404, message File not found
172.17.0.1 - - [27/Feb/2025 01:07:00] "GET /favicon.ico HTTP/1.1" 404 -
172.17.0.1 - - [27/Feb/2025 01:08:51] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:08:54] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:08:57] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:09:11] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:09:11] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:09:57] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:09:57] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:16:42] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:17:25] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:18:13] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:18:16] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:18:19] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:18:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:18:22] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:18:37] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:18:40] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:18:52] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:18:55] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:19:01] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:19:28] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:19:31] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:19:34] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:19:43] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:19:49] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:19:55] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:20:01] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:20:07] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:20:16] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:20:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 01:20:28] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 01:20:52] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:41:16] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:02] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:02] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 02:47:04] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:04] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:04] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:04] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:06] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [27/Feb/2025 02:47:06] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:09] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:12] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:12] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:14] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:17] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:20] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:20] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:27] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:30] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:51] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [27/Feb/2025 02:47:57] "GET / HTTP/1.1" 304 -
